Beginning Data Retrieval 
============================== 
Processing Record 139 of Set 1 : gongzhuling
Processing Record 140 of Set 1 : port-cartier
Processing Record 141 of Set 1 : awjilah
Processing Record 142 of Set 1 : thompson
Processing Record 143 of Set 1 : norman wells
Processing Record 144 of Set 1 : severo-kurilsk
Processing Record 145 of Set 1 : lebu
Processing Record 146 of Set 1 : shu
Processing Record 147 of Set 1 : cherskiy
Processing Record 148 of Set 1 : hasaki
Processing Record 149 of Set 1 : champerico
Processing Record 150 of Set 1 : sentyabrskiy
Processing Record 151 of Set 1 : pestravka
Processing Record 152 of Set 1 : arraial do cabo
Processing Record 153 of Set 1 : sangar
Processing Record 154 of Set 1 : atasu
Processing Record 155 of Set 1 : iqaluit
Processing Record 156 of Set 1 : cabo san lucas
Processing Record 157 of Set 1 : bethel
Processing Record 158 of Set 1 : mahabad
Processing Record 159 of Set 1 : saleaula
Processing Record 160 of Set 1 : brejo
Processing Record 161 of Set 1 : tsihombe
Processing Record 162 of Set 1 : znamenskoye
Processing Record 163 of Set 1 : tomatlan
Processing Record 164 of Set 1 : sisimiut
Processing Record 165 of Set 1 : devils lake
Processing Record 166 of Set 1 : west plains
Processing Record 167 of Set 1 : bloemfontein
Processing Record 168 of Set 1 : abha
Processing Record 169 of Set 1 : vung tau
Processing Record 170 of Set 1 : comodoro rivadavia
Processing Record 171 of Set 1 : sibolga
Processing Record 172 of Set 1 : souillac
Processing Record 173 of Set 1 : bluff
Processing Record 174 of Set 1 : yellowknife
Processing Record 175 of Set 1 : puerto madryn
Processing Record 176 of Set 1 : merauke
Processing Record 177 of Set 1 : fortuna
Processing Record 178 of Set 1 : de-kastri
Processing Record 179 of Set 1 : chokurdakh
Processing Record 180 of Set 1 : fairbanks
Processing Record 181 of Set 1 : eisiskes
Processing Record 182 of Set 1 : antalaha
Processing Record 183 of Set 1 : gornopravdinsk
Processing Record 184 of Set 1 : qaanaaq
Processing Record 185 of Set 1 : belaya gora
Processing Record 186 of Set 1 : bulgan
Processing Record 187 of Set 1 : port hedland
Processing Record 188 of Set 1 : aykhal
Processing Record 189 of Set 1 : jacareacanga
Processing Record 190 of Set 1 : huicungo
Processing Record 191 of Set 1 : mangrol
Processing Record 192 of Set 1 : port-gentil
Processing Record 193 of Set 1 : thunder bay
Processing Record 194 of Set 1 : yinchuan
Processing Record 195 of Set 1 : chippewa falls
Processing Record 196 of Set 1 : black river
Processing Record 197 of Set 1 : giaveno
Processing Record 198 of Set 1 : saint anthony
Processing Record 199 of Set 1 : faya
Processing Record 200 of Set 1 : coffs harbour
Processing Record 201 of Set 1 : veraval
Processing Record 202 of Set 1 : mitsamiouli
Processing Record 203 of Set 1 : grindavik
Processing Record 204 of Set 1 : isangel
Processing Record 205 of Set 1 : port lincoln
Processing Record 206 of Set 1 : ponta do sol
Processing Record 207 of Set 1 : jieshi
Processing Record 208 of Set 1 : ribeira grande
Processing Record 209 of Set 1 : micco
Processing Record 210 of Set 1 : nouakchott
Processing Record 211 of Set 1 : saint-augustin
Processing Record 212 of Set 1 : atbasar
Processing Record 213 of Set 1 : sistranda
Processing Record 214 of Set 1 : bowen
Processing Record 215 of Set 1 : mar del plata
Processing Record 216 of Set 1 : gondanglegi
Processing Record 217 of Set 1 : vardo
Processing Record 218 of Set 1 : willowmore
Processing Record 219 of Set 1 : sitka
Processing Record 220 of Set 1 : menongue
Processing Record 221 of Set 1 : petropavlovsk-kamchatskiy
Processing Record 222 of Set 1 : sa kaeo
Processing Record 223 of Set 1 : mouzakion
Processing Record 224 of Set 1 : itaituba
Processing Record 225 of Set 1 : baykit
Processing Record 226 of Set 1 : bokspits
Processing Record 227 of Set 1 : wyndham
Processing Record 228 of Set 1 : saldanha
Processing Record 229 of Set 1 : nara
Processing Record 230 of Set 1 : los llanos de aridane
Processing Record 231 of Set 1 : innisfail
Processing Record 232 of Set 1 : meulaboh
Processing Record 233 of Set 1 : hihifo
Processing Record 234 of Set 1 : bolungarvik
Processing Record 235 of Set 1 : husavik
Processing Record 236 of Set 1 : port blair
Processing Record 237 of Set 1 : sucre
Processing Record 238 of Set 1 : nantucket
Processing Record 239 of Set 1 : leh
Processing Record 240 of Set 1 : grand gaube
Processing Record 241 of Set 1 : nokia
Processing Record 242 of Set 1 : kieta
Processing Record 243 of Set 1 : alofi
Processing Record 244 of Set 1 : sarakhs
Processing Record 245 of Set 1 : mao
Processing Record 246 of Set 1 : castro
Processing Record 247 of Set 1 : wakkanai
Processing Record 248 of Set 1 : broken hill
Processing Record 249 of Set 1 : zhigansk
Processing Record 250 of Set 1 : kavieng
